id,undotted,transliterated
27033,אף על פי כן ,ap yl pi kn
27034,על אף ,yl ap
27035,אף על פי ,ap yl pi
27036,אף פעם ,ap pym
27037,אף נפש חיה ,ap npe xih
27038,אף אם ,ap am
27039,אף כי ,ap ki
27040,אף גם זאת ,ap gm zat
27041,אף על גב ,ap yl gb
27042,לא זו אף זו ,la zw ap zw
27043,בעל פה ,byl ph
28541,עבודת נמלים ,ybwdt nmlim
27071,בבת אחת ,bbt axt
27048,על הפנים ,yl hpnim
27047,על קצה הלשון ,yl qch hlewn
27050,משום כך ,mewm kk
27051,על כן ,yl kn
27052,באשר על כן ,baer yl kn
27053,יתר על כן ,itr yl kn
27054,כי על כן ,ki yl kn
27055,אשר על כן ,aer yl kn
27056,בכל אופן ,bkl awpn
27057,לפי שעה ,lpi eyh
27058,על מנת ,yl mnt
27059,אם כי ,am ki
27060,אלא אם כן ,ala am kn
27061,אם כך ,am kk
27062,אם לא כן ,am la kn
27063,אחרי כן ,axri kn
27064,כל שכן ,kl ekn
27065,כמו כן ,kmw kn
27066,לאחר מכן ,laxr mkn
27067,לפני כן ,lpni kn
27068,על פי רוב ,yl pi rwb
27069,אך זה ,ak zh
27070,אך ורק ,ak wrq
27084,אלא אם ,ala am
27856,סדו מזו ,sdw mzw
27871,הא לחמא עניא ,ha lxma ynia
28511,סנט ג'ונס ,
28059,בני ברק ,bni brq
28060,בני השרון ,bni herwn
28061,בני סחנין ,bni sxnin
28513,אבו דאבי ,abw dabi
28512,סנט ג'ורג' ,
28510,ריו דה ז'נרו ,
28507,פנום פן ,pnwm pn
28506,סנט פטרסבורג ,snv pvrsbwrg
28096,קריית יערים ,qriit iyrim
28095,אשדות יעקב ,aedwt iyqb
28094,עין חרוד ,yin xrwd
28093,גבעת חיים ,gbyt xiim
28092,בן שמן ,bn emn
28091,כרם יבנה ,krm ibnh
28090,כפר רוזנואלד ,kpr rwznwald
28089,אשדות יעקב איחוד ,aedwt iyqb aixwd
28467,דגניה א' ,
28098,ניר דוד ,nir dwd
28099,כפר חסידים ,kpr xsidim
28100,"מצפה אבי""ב ","mcph abi""b"
28101,כפר אביב ,kpr abib
28102,גבעת אבני ,gbyt abni
28103,כפר אדומים ,kpr adwmim
28104,ביתן אהרן ,bitn ahrn
28105,גן אור ,gn awr
28106,באר טוביה ,bar vwbih
28107,כפר אוריה ,kpr awrih
28108,בית אורן ,bit awrn
28109,"נווה אטי""ב ","nwwh avi""b"
28110,עין איילה ,yin aiilh
28111,משמר איילון ,memr aiilwn
28112,נוף איילון ,nwp aiilwn
28113,נווה אילן ,nwwh ailn
28114,שדה אילן ,edh ailn
28115,אבני איתן ,abni aitn
28116,נווה איתן ,nwwh aitn
28508,סן פרנסיסקו ,sn prnsisqw
28120,גבעת אלה ,gbyt alh
28121,ניר אליהו ,nir alihw
28122,שדה אליהו ,edh alihw
28123,שדה אליעזר ,edh aliyzr
28124,תלמי אלעזר ,tlmi alyzr
28125,בית אלעזרי ,bit alyzri
28126,בית אלפא ,bit alpa
28127,עץ אפרים ,yc aprim
28128,שער אפרים ,eyr aprim
28465,דגניה ב' ,
28130,שדה בוקר ,edh bwqr
28131,בית יוסף ,bit iwsp
28132,"כפר ביל""ו ","kpr bil""w"
28133,"תלמי ביל""ו ","tlmi bil""w"
28134,מבוא ביתר ,mbwa bitr
28135,כפר בלום ,kpr blwm
28136,גבע בנימין ,gby bnimin
28137,יד בנימין ,id bnimin
28138,כפר ברוך ,kpr brwk
28139,בית עזרא ,bit yzra
28140,בית ברל ,bit brl
28141,גבעת ברנר ,gbyt brnr
28142,בית קמה ,bit qmh
28143,עין גב ,yin gb
28144,עין גדי ,yin gdi
28145,כפר גדעון ,kpr gdywn
28146,בית גוברין ,bit gwbrin
